|-------------|----------------------|-------------|-------------|----------------------------------|--------------------------|-------------|----------|--------|
| Category    | Instruction          | Opcode Type | Primary DUT | Key Checks                       | Corner Cases             | Level       | Priority | Status |
|-------------|----------------------|-------------|-------------|----------------------------------|--------------------------|-------------|----------|--------|
| R-ALU       | ADD                  | R-type      | ALU         | Addition correctness             | Overflow wraparound      | Unit        | H        | TODO   |
|-------------|----------------------|-------------|-------------|----------------------------------|--------------------------|-------------|----------|--------|
| R-ALU       | SUB                  | R-type      | ALU         | Subtraction correctness          | Negative result          | Unit        | H        | TODO   |
|-------------|----------------------|-------------|-------------|----------------------------------|--------------------------|-------------|----------|--------|
| R-ALU       | SLL                  | R-type      | ALU         | Logical left shift               | Shift >31 masked         | Unit        | H        | TODO   |
|-------------|----------------------|-------------|-------------|----------------------------------|--------------------------|-------------|----------|--------|
| R-ALU       | SLT                  | R-type      | ALU         | Signed comparison                | +/- boundary values      | Unit        | H        | TODO   |
|-------------|----------------------|-------------|-------------|----------------------------------|--------------------------|-------------|----------|--------|
| R-ALU       | SLTU                 | R-type      | ALU         | Unsigned comparison              | Max unsigned value       | Unit        | H        | TODO   |
|-------------|----------------------|-------------|-------------|----------------------------------|--------------------------|-------------|----------|--------|
| R-ALU       | XOR                  | R-type      | ALU         | Bitwise XOR                      | All zeros/all ones       | Unit        | M        | TODO   |
|-------------|----------------------|-------------|-------------|----------------------------------|--------------------------|-------------|----------|--------|
| R-ALU       | SRL                  | R-type      | ALU         | Logical right shift              | Zero-fill behavior       | Unit        | H        | TODO   |
|-------------|----------------------|-------------|-------------|----------------------------------|--------------------------|-------------|----------|--------|
| R-ALU       | SRA                  | R-type      | ALU         | Arithmetic right shift           | Sign-extension           | Unit        | H        | TODO   |
|-------------|----------------------|-------------|-------------|----------------------------------|--------------------------|-------------|----------|--------|
| R-ALU       | OR                   | R-type      | ALU         | Bitwise OR                       | All bits set             | Unit        | M        | TODO   |
|-------------|----------------------|-------------|-------------|----------------------------------|--------------------------|-------------|----------|--------|
| R-ALU       | AND                  | R-type      | ALU         | Bitwise AND                      | Masking behavior         | Unit        | M        | TODO   |
|-------------|----------------------|-------------|-------------|----------------------------------|--------------------------|-------------|----------|--------|
| I-ALU       | ADDI                 | I-type      | ALU         | Immediate addition               | Sign-extension           | Unit        | H        | TODO   |
|-------------|----------------------|-------------|-------------|----------------------------------|--------------------------|-------------|----------|--------|
| I-ALU       | SLTI                 | I-type      | ALU         | Signed immediate compare         | Negative imm             | Unit        | H        | TODO   |
|-------------|----------------------|-------------|-------------|----------------------------------|--------------------------|-------------|----------|--------|
| I-ALU       | SLTIU                | I-type      | ALU         | Unsigned immediate compare       | Large imm                | Unit        | H        | TODO   |
|-------------|----------------------|-------------|-------------|----------------------------------|--------------------------|-------------|----------|--------|
| I-ALU       | XORI                 | I-type      | ALU         | Immediate XOR                    | Bit toggling             | Unit        | M        | TODO   |
|-------------|----------------------|-------------|-------------|----------------------------------|--------------------------|-------------|----------|--------|
| I-ALU       | ORI                  | I-type      | ALU         | Immediate OR                     | Upper bits unchanged     | Unit        | M        | TODO   |
|-------------|----------------------|-------------|-------------|----------------------------------|--------------------------|-------------|----------|--------|
| I-ALU       | ANDI                 | I-type      | ALU         | Immediate AND                    | Masking imm              | Unit        | M        | TODO   |
|-------------|----------------------|-------------|-------------|----------------------------------|--------------------------|-------------|----------|--------|
| I-ALU       | SLLI                 | I-type      | ALU         | Shift left immediate             | shamt[4:0]               | Unit        | H        | TODO   |
|-------------|----------------------|-------------|-------------|----------------------------------|--------------------------|-------------|----------|--------|
| I-ALU       | SRLI                 | I-type      | ALU         | Logical shift right immediate    | Zero-fill                | Unit        | H        | TODO   |
|-------------|----------------------|-------------|-------------|----------------------------------|--------------------------|-------------|----------|--------|
| I-ALU       | SRAI                 | I-type      | ALU         | Arithmetic shift right immediate | Sign-bit replication     | Unit        | H        | TODO   |
|-------------|----------------------|-------------|-------------|----------------------------------|--------------------------|-------------|----------|--------|
| LOAD        | LB                   | I-type      | LSU         | Byte load signed                 | Sign-extension           | Unit        | H        | TODO   |
|-------------|----------------------|-------------|-------------|----------------------------------|--------------------------|-------------|----------|--------|
| LOAD        | LH                   | I-type      | LSU         | Halfword load signed             | Unaligned addr           | Unit        | H        | TODO   |
|-------------|----------------------|-------------|-------------|----------------------------------|--------------------------|-------------|----------|--------|
| LOAD        | LW                   | I-type      | LSU         | Word load                        | Alignment                | Unit        | H        | TODO   |
|-------------|----------------------|-------------|-------------|----------------------------------|--------------------------|-------------|----------|--------|
| LOAD        | LBU                  | I-type      | LSU         | Byte load unsigned               | Zero-extension           | Unit        | H        | TODO   |
|-------------|----------------------|-------------|-------------|----------------------------------|--------------------------|-------------|----------|--------|
| LOAD        | LHU                  | I-type      | LSU         | Halfword load unsigned           | Zero-extension           | Unit        | H        | TODO   |
|-------------|----------------------|-------------|-------------|----------------------------------|--------------------------|-------------|----------|--------|
| STORE       | SB                   | S-type      | LSU         | Byte store                       | Write strobe correctness | Unit        | H        | TODO   |
